"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that each endpoint returns expected number of items","111","test_resource_counts[/photos-5000]","tests","2025-12-16","passed","2025-12-16","TestBasicRequest","test_api_testing_demo","",""
"Test that each endpoint returns expected number of items","53","test_resource_counts[/todos-200]","tests","2025-12-16","passed","2025-12-16","TestBasicRequest","test_api_testing_demo","",""
"Test user names match expected values","52","test_user_names[2-Ervin Howell]","tests","2025-12-16","passed","2025-12-16","TestBasicRequest","test_api_testing_demo","",""
"Test that each endpoint returns expected number of items","52","test_resource_counts[/comments-500]","tests","2025-12-16","passed","2025-12-16","TestBasicRequest","test_api_testing_demo","",""
"","54","test_get_posts_by_id[3]","tests","2025-12-16","passed","2025-12-16","TestBasicRequest","test_api_testing_demo","",""
"","548","test_post_with_params","tests","2025-12-16","passed","2025-12-16","","test_demo01_basics","",""
"","728","test_basics","tests","2025-12-16","passed","2025-12-16","","test_demo01_basics","",""
"","704","test_get_single_post","tests","2025-12-16","passed","2025-12-16","TestBasicRequest","test_api_testing_demo","",""
"Test that each endpoint returns expected number of items","50","test_resource_counts[/albums-100]","tests","2025-12-16","passed","2025-12-16","TestBasicRequest","test_api_testing_demo","",""
"","50","test_get_posts_by_id[1]","tests","2025-12-16","passed","2025-12-16","TestBasicRequest","test_api_testing_demo","",""
"Test that each endpoint returns expected number of items","48","test_resource_counts[/users-10]","tests","2025-12-16","passed","2025-12-16","TestBasicRequest","test_api_testing_demo","",""
"","578","test_parameters","tests","2025-12-16","passed","2025-12-16","","test_demo01_basics","",""
"","64","test_create_post","tests","2025-12-16","passed","2025-12-16","TestBasicRequest","test_api_testing_demo","",""
"Test that each endpoint returns expected number of items","51","test_resource_counts[/posts-100]","tests","2025-12-16","passed","2025-12-16","TestBasicRequest","test_api_testing_demo","",""
"Test user names match expected values","50","test_user_names[4-Patricia Lebsack]","tests","2025-12-16","passed","2025-12-16","TestBasicRequest","test_api_testing_demo","",""
"","53","test_get_posts_by_id[2]","tests","2025-12-16","passed","2025-12-16","TestBasicRequest","test_api_testing_demo","",""
"Test user names match expected values","56","test_user_names[1-Leanne Graham]","tests","2025-12-16","passed","2025-12-16","TestBasicRequest","test_api_testing_demo","",""
"Test user names match expected values","51","test_user_names[5-Chelsey Dietrich]","tests","2025-12-16","passed","2025-12-16","TestBasicRequest","test_api_testing_demo","",""
"Test user names match expected values","52","test_user_names[3-Clementine Bauch]","tests","2025-12-16","passed","2025-12-16","TestBasicRequest","test_api_testing_demo","",""
